category,series_name,period,value
,        Electric Equipment,Unnamed: 10,100.8160583
,        Electric Equipment,Unnamed: 11,96.16613333
,        Electric Equipment,Unnamed: 12,100.23615
,        Electric Equipment,Unnamed: 13,101.180725
,        Electric Equipment,Unnamed: 14,99.99998333
,        Electric Equipment,Unnamed: 15,100.7891667
,        Electric Equipment,Unnamed: 16,101.120675
,        Electric Equipment,Unnamed: 17,101.6668667
,        Electric Equipment,Unnamed: 18,99.87365833
,        Electric Equipment,Unnamed: 19,100.0771833
,        Electric Equipment,Unnamed: 20,97.71971667
,        Electric Equipment,Unnamed: 21,93.37073333
,        Electric Equipment,Unnamed: 22,89.796975
,        Electric Equipment,Unnamed: 23,113.97185
,        Electric Equipment,Unnamed: 24,118.70155
,        Electric Equipment,Unnamed: 25,113.9286
,        Electric Equipment,Unnamed: 26,113.1900167
,        Electric Equipment,Unnamed: 27,111.2976917
,        Electric Equipment,Unnamed: 28,109.365175
,        Electric Equipment,Unnamed: 29,112.26105
,        Electric Equipment,Unnamed: 30,121.8669167
,        Electric Equipment,Unnamed: 31,135.227075
,        Electric Equipment,Unnamed: 32,128.8029667
,        Electric Equipment,Unnamed: 33,126.7340917
,        Electric Equipment,Unnamed: 34,122.1638
,        Electric Equipment,Unnamed: 35,117.7774917
,        Electric Equipment,Unnamed: 36,114.3215
,        Electric Equipment,Unnamed: 37,111.602175
,        Electric Equipment,Unnamed: 38,104.0584333
,        Electric Equipment,Unnamed: 39,97.98024167
,        Electric Equipment,Unnamed: 40,92.40751667
,        Electric Equipment,Unnamed: 41,97.46325833
,        Electric Equipment,Unnamed: 42,100.0273333
,        Electric Equipment,Unnamed: 43,101.796575
,        Electric Equipment,Unnamed: 44,97.01134167
,        Electric Equipment,Unnamed: 6,96.8741
,        Electric Equipment,Unnamed: 7,98.25744167
,        Electric Equipment,Unnamed: 8,97.2592
,        Electric Equipment,Unnamed: 9,96.90533333
,        FW Dodge Construction Index,Unnamed: 10,180.85
,        FW Dodge Construction Index,Unnamed: 11,154.3333333
,        FW Dodge Construction Index,Unnamed: 12,167.6666667
,        FW Dodge Construction Index,Unnamed: 13,162.4166667
,        FW Dodge Construction Index,Unnamed: 14,150.1666667
,        FW Dodge Construction Index,Unnamed: 15,136.25
,        FW Dodge Construction Index,Unnamed: 16,132.5
,        FW Dodge Construction Index,Unnamed: 17,118.1666667
,        FW Dodge Construction Index,Unnamed: 18,106.5833333
,        FW Dodge Construction Index,Unnamed: 19,96.0
,        FW Dodge Construction Index,Unnamed: 20,87.5
,        FW Dodge Construction Index,Unnamed: 21,87.0
,        FW Dodge Construction Index,Unnamed: 22,85.75
,        FW Dodge Construction Index,Unnamed: 23,110.4166667
,        FW Dodge Construction Index,Unnamed: 24,126.9139167
,        FW Dodge Construction Index,Unnamed: 25,144.6154167
,        FW Dodge Construction Index,Unnamed: 26,141.652
,        FW Dodge Construction Index,Unnamed: 27,124.918
,        FW Dodge Construction Index,Unnamed: 28,112.9205
,        FW Dodge Construction Index,Unnamed: 29,107.0728333
,        FW Dodge Construction Index,Unnamed: 30,105.2013333
,        FW Dodge Construction Index,Unnamed: 31,100.1166667
,        FW Dodge Construction Index,Unnamed: 32,94.71158333
,        FW Dodge Construction Index,Unnamed: 33,86.1115
,        FW Dodge Construction Index,Unnamed: 34,76.80541667
,        FW Dodge Construction Index,Unnamed: 35,69.85433333
,        FW Dodge Construction Index,Unnamed: 36,65.01383333
,        FW Dodge Construction Index,Unnamed: 37,62.65916667
,        FW Dodge Construction Index,Unnamed: 38,57.59233333
,        FW Dodge Construction Index,Unnamed: 39,53.35008333
,        FW Dodge Construction Index,Unnamed: 40,48.94516667
,        FW Dodge Construction Index,Unnamed: 41,52.101
,        FW Dodge Construction Index,Unnamed: 42,57.58433333
,        FW Dodge Construction Index,Unnamed: 43,55.4975
,        FW Dodge Construction Index,Unnamed: 44,54.82408333
,        FW Dodge Construction Index,Unnamed: 6,272.3333333
,        FW Dodge Construction Index,Unnamed: 7,240.0833333
,        FW Dodge Construction Index,Unnamed: 8,227.75
,        FW Dodge Construction Index,Unnamed: 9,222.6666667
,        Fabricated Metals,Unnamed: 10,96.71975833
,        Fabricated Metals,Unnamed: 11,93.12914167
,        Fabricated Metals,Unnamed: 12,102.377675
,        Fabricated Metals,Unnamed: 13,104.508075
,        Fabricated Metals,Unnamed: 14,99.99999167
,        Fabricated Metals,Unnamed: 15,98.82813333
,        Fabricated Metals,Unnamed: 16,102.587025
,        Fabricated Metals,Unnamed: 17,106.141325
,        Fabricated Metals,Unnamed: 18,104.2237583
,        Fabricated Metals,Unnamed: 19,102.413525
,        Fabricated Metals,Unnamed: 20,99.40923333
,        Fabricated Metals,Unnamed: 21,92.87918333
,        Fabricated Metals,Unnamed: 22,87.21818333
,        Fabricated Metals,Unnamed: 23,113.3597167
,        Fabricated Metals,Unnamed: 24,117.6332
,        Fabricated Metals,Unnamed: 25,112.8116667
,        Fabricated Metals,Unnamed: 26,106.9507667
,        Fabricated Metals,Unnamed: 27,102.2093167
,        Fabricated Metals,Unnamed: 28,101.751625
,        Fabricated Metals,Unnamed: 29,102.9205417
,        Fabricated Metals,Unnamed: 30,105.2162833
,        Fabricated Metals,Unnamed: 31,113.3871333
,        Fabricated Metals,Unnamed: 32,109.1103833
,        Fabricated Metals,Unnamed: 33,108.2999583
,        Fabricated Metals,Unnamed: 34,104.8994583
,        Fabricated Metals,Unnamed: 35,100.3585083
,        Fabricated Metals,Unnamed: 36,96.88794167
,        Fabricated Metals,Unnamed: 37,91.273375
,        Fabricated Metals,Unnamed: 38,83.96820833
,        Fabricated Metals,Unnamed: 39,80.910275
,        Fabricated Metals,Unnamed: 40,78.4804
,        Fabricated Metals,Unnamed: 41,82.18623333
,        Fabricated Metals,Unnamed: 42,83.160825
,        Fabricated Metals,Unnamed: 43,83.80939167
,        Fabricated Metals,Unnamed: 44,79.77404167
,        Fabricated Metals,Unnamed: 6,93.8187
,        Fabricated Metals,Unnamed: 7,93.5973
,        Fabricated Metals,Unnamed: 8,96.255575
,        Fabricated Metals,Unnamed: 9,98.0898
,        Industrial,Unnamed: 10,97.76563333
,        Industrial,Unnamed: 11,91.856275
,        Industrial,Unnamed: 12,101.6436333
,        Industrial,Unnamed: 13,104.6349583
,        Industrial,Unnamed: 14,99.99999167
,        Industrial,Unnamed: 15,97.07915
,        Industrial,Unnamed: 16,103.1824167
,        Industrial,Unnamed: 17,110.8104167
,        Industrial,Unnamed: 18,110.5348583
,        Industrial,Unnamed: 19,113.696025
,        Industrial,Unnamed: 20,106.4876667
,        Industrial,Unnamed: 21,97.05135
,        Industrial,Unnamed: 22,89.61563333
,        Industrial,Unnamed: 23,112.2348
,        Industrial,Unnamed: 24,114.6117667
,        Industrial,Unnamed: 25,110.295975
,        Industrial,Unnamed: 26,105.9924083
,        Industrial,Unnamed: 27,100.4528333
,        Industrial,Unnamed: 28,97.78368333
,        Industrial,Unnamed: 29,98.188425
,        Industrial,Unnamed: 30,99.98661667
,        Industrial,Unnamed: 31,109.8791583
,        Industrial,Unnamed: 32,103.8205917
,        Industrial,Unnamed: 33,106.2997833
,        Industrial,Unnamed: 34,103.2507083
,        Industrial,Unnamed: 35,97.07255833
,        Industrial,Unnamed: 36,93.36536667
,        Industrial,Unnamed: 37,87.39050833
,        Industrial,Unnamed: 38,81.67100833
,        Industrial,Unnamed: 39,76.44854167
,        Industrial,Unnamed: 40,75.11583333
,        Industrial,Unnamed: 41,79.39245
,        Industrial,Unnamed: 42,79.949025
,        Industrial,Unnamed: 43,77.43496667
,        Industrial,Unnamed: 44,71.16335833
,        Industrial,Unnamed: 6,88.506125
,        Industrial,Unnamed: 7,89.59908333
,        Industrial,Unnamed: 8,94.11659167
,        Industrial,Unnamed: 9,97.53175833
,        Machinery,Unnamed: 10,97.40565
,        Machinery,Unnamed: 11,90.54821667
,        Machinery,Unnamed: 12,101.4816917
,        Machinery,Unnamed: 13,104.57935
,        Machinery,Unnamed: 14,99.99999167
,        Machinery,Unnamed: 15,95.81399167
,        Machinery,Unnamed: 16,103.766075
,        Machinery,Unnamed: 17,112.7532583
,        Machinery,Unnamed: 18,111.3259
,        Machinery,Unnamed: 19,116.7251917
,        Machinery,Unnamed: 20,107.94305
,        Machinery,Unnamed: 21,95.85078333
,        Machinery,Unnamed: 22,85.8315
,        Machinery,Unnamed: 23,110.293675
,        Machinery,Unnamed: 24,113.2647833
,        Machinery,Unnamed: 25,108.6635917
,        Machinery,Unnamed: 26,103.662875
,        Machinery,Unnamed: 27,97.54360833
,        Machinery,Unnamed: 28,93.57229167
,        Machinery,Unnamed: 29,94.00118333
,        Machinery,Unnamed: 30,97.788325
,        Machinery,Unnamed: 31,109.5193583
,        Machinery,Unnamed: 32,104.3489
,        Machinery,Unnamed: 33,106.6576
,        Machinery,Unnamed: 34,104.1568333
,        Machinery,Unnamed: 35,98.44180833
,        Machinery,Unnamed: 36,94.62945
,        Machinery,Unnamed: 37,87.76094167
,        Machinery,Unnamed: 38,79.90128333
,        Machinery,Unnamed: 39,74.27604167
,        Machinery,Unnamed: 40,74.39048333
,        Machinery,Unnamed: 41,79.42863333
,        Machinery,Unnamed: 42,81.40248333
,        Machinery,Unnamed: 43,78.526525
,        Machinery,Unnamed: 44,71.1145
