series_name,ticker,period,value
            Flat,EUFEFLAT Index,Unnamed: 22,2260264.95
            Flat,EUSLFLAT Index,Unnamed: 23,3312819.21
            Flat,EUFEFLAT Index,Unnamed: 23,2453719.05
            Flat,EUSLFLAT Index,Unnamed: 24,2287479.61
            Flat,EUFEFLAT Index,Unnamed: 24,2625205.02
            Flat,EUSLFLAT Index,Unnamed: 25,1987878.44
            Flat,EUFEFLAT Index,Unnamed: 25,2705239.02
            Flat,EUSLFLAT Index,Unnamed: 26,1982058.71
            Flat,EUFEFLAT Index,Unnamed: 26,2698734.01
            Flat,EUSLFLAT Index,Unnamed: 27,2407118.28
            Flat,EUFEFLAT Index,Unnamed: 27,2434702.03
            Flat,EUSLFLAT Index,Unnamed: 28,2260001.71
            Flat,EUFEFLAT Index,Unnamed: 28,2791827.94
            Flat,EUSLFLAT Index,Unnamed: 29,2169317.62
            Flat,EUFEFLAT Index,Unnamed: 29,3037896.0
            Flat,EUSLFLAT Index,Unnamed: 30,2778130.52
            Flat,EUFEFLAT Index,Unnamed: 30,3036578.07
            Flat,EUSLFLAT Index,Unnamed: 31,2884050.54
            Flat,EUFEFLAT Index,Unnamed: 31,3324379.89
            Flat,EUSLFLAT Index,Unnamed: 32,3461323.73
            Flat,EUFEFLAT Index,Unnamed: 32,3074492.07
            Flat,EUSLFLAT Index,Unnamed: 33,2766673.52
            Flat,EUFEFLAT Index,Unnamed: 33,2981039.98
            Flat,EUSLFLAT Index,Unnamed: 34,3086709.96
            Flat,EUFEFLAT Index,Unnamed: 34,3031662.11
            Flat,EUSLFLAT Index,Unnamed: 35,3449633.55
            Flat,EUFEFLAT Index,Unnamed: 35,3125076.96
            Flat,EUSLFLAT Index,Unnamed: 36,4096442.75
            Flat,EUFEFLAT Index,Unnamed: 36,3197671.02
            Flat,EUSLFLAT Index,Unnamed: 37,4415162.0
            Flat,EUFEFLAT Index,Unnamed: 37,3598359.0
            Flat,EUSLFLAT Index,Unnamed: 38,4921914.0
            Flat,EUFEFLAT Index,Unnamed: 38,3391866.94
            Flat,EUSLFLAT Index,Unnamed: 39,5825883.0
            Flat,EUFEFLAT Index,Unnamed: 39,3321031.92
            Flat,EUSLFLAT Index,Unnamed: 40,5621009.0
            Flat,EUFEFLAT Index,Unnamed: 40,3005353.03
            Flat,EUSLFLAT Index,Unnamed: 41,5353775.0
            Flat,EUFEFLAT Index,Unnamed: 41,3147795.04
            Flat,EUSLFLAT Index,Unnamed: 42,5164534.0
            Flat,EUFEFLAT Index,Unnamed: 42,3118921.02
            Flat,EUSLFLAT Index,Unnamed: 43,4819999.0
            Flat,EUFEFLAT Index,Unnamed: 43,3350072.02
            Flat,EUSLFLAT Index,Unnamed: 44,5204935.0
