lag_quarters,n,r_revenue,p_revenue,rho_revenue,r_ebitda,p_ebitda,indicator
0,40,0.8703811277901689,2.974673438515622e-13,0.901688555347092,0.6648413827505468,2.8807689312418614e-06,WTI Crude
1,40,0.7738906526416508,4.733364850029455e-09,0.8469043151969983,0.4846262476170793,0.0015295962079703905,WTI Crude
2,40,0.5307689519020238,0.00042612163299644043,0.6448405253283302,0.1899121948563862,0.24049834633538794,WTI Crude
3,40,0.3049092514426183,0.055735372344972445,0.4243902439024391,-0.037818301803298725,0.8167848557296531,WTI Crude
4,40,0.1133050930209235,0.48634891409992126,0.18836772983114447,-0.20279858134867684,0.20946822620156424,WTI Crude
0,40,-0.0031612877433071594,0.9845541086541045,0.09399624765478425,-0.11294978882696469,0.4877257595565511,Rig Count
1,40,-0.17177309974104754,0.28921665553682896,-0.08724202626641653,-0.2983539031226937,0.06148914656032721,Rig Count
2,40,-0.32650871048838565,0.039755928767591694,-0.28480300187617263,-0.43099055950517623,0.005496542061065612,Rig Count
3,40,-0.4630405197760556,0.002623256672701537,-0.4857410881801127,-0.537727563888164,0.0003457773480278163,Rig Count
4,40,-0.566635944430115,0.00013799873515970125,-0.6153846153846155,-0.6177823125462227,2.165644850058755e-05,Rig Count
0,40,0.8762684982803238,1.2973534083176842e-13,0.8831144465290809,0.8466546016506716,5.8393392765513304e-12,Scrap PPI
1,40,0.928596912168676,6.023612449883909e-18,0.9335834896810509,0.818808338892732,1.0749709934486412e-10,Scrap PPI
2,40,0.8189102421772686,1.0645517165520878e-10,0.8405253283302064,0.6193561613653679,2.0350769453344712e-05,Scrap PPI
3,40,0.6568315109082168,4.162297820726764e-06,0.676547842401501,0.36910162977368366,0.019087620452860776,Scrap PPI
4,40,0.5124151422943609,0.0007239452761384686,0.524390243902439,0.18406165143629863,0.2555629923070238,Scrap PPI
0,40,0.3368717635902362,0.033539044455903826,0.39681050656660416,0.21888016848165784,0.17479922328768993,Industrial Production
1,40,0.17301937734698156,0.28567885352866984,0.18499061913696063,0.0009855899351349094,0.9951841969507625,Industrial Production
2,40,-0.020984072612030107,0.8977370235147002,-0.07579737335834899,-0.20235412674057576,0.2104897166720999,Industrial Production
3,40,-0.2846532280644112,0.07503492934693731,-0.32138836772983115,-0.42588063037526075,0.006145465353071906,Industrial Production
4,40,-0.5288998679446242,0.0004503741833367974,-0.5330206378986867,-0.6737586419446917,1.887352279279208e-06,Industrial Production
0,40,0.06226194207614024,0.7027113219017155,-0.14896810506566605,0.10813356501323874,0.5065866049613509,Mfg Industrial Prod
1,40,-0.026716395477147357,0.8700142536482502,-0.24258911819887435,-0.0386208917543469,0.8129650530054217,Mfg Industrial Prod
2,40,-0.14991583762241237,0.35584156279857876,-0.3748592870544091,-0.18952008575111995,0.241488794367389,Mfg Industrial Prod
3,40,-0.36466805179358497,0.020693290474049077,-0.5155722326454034,-0.3842044213060379,0.014379908757098743,Mfg Industrial Prod
4,40,-0.5874862302263902,6.734988648953508e-05,-0.6637898686679176,-0.6356066044919843,1.0493694765958304e-05,Mfg Industrial Prod
0,40,0.4496593786733042,0.003603130726388878,0.5703564727954973,0.15201747625336312,0.34906035244902484,Non-Res Construction
1,40,0.40379457559744103,0.009768814380097504,0.5292682926829269,0.12574673053745716,0.4394336924281601,Non-Res Construction
2,40,0.37155492845810206,0.018244976718869967,0.5065666041275798,0.11628613081462816,0.47487694880982784,Non-Res Construction
3,40,0.3631234877570039,0.021278563895384416,0.5056285178236398,0.13533413286823484,0.4050549688442917,Non-Res Construction
4,40,0.3817091629288422,0.015081927829439979,0.5386491557223265,0.17863127462475087,0.2700975479184011,Non-Res Construction
0,40,0.7652839852652489,8.866939236408803e-09,0.8212007504690433,0.5038066382157808,0.0009189368932413895,Durable Goods Orders
1,40,0.7288229321744241,9.694112715514341e-08,0.8388367729831145,0.43074226574305763,0.005526643040838914,Durable Goods Orders
